Název;Kód;Kategorie
Štokov;Štokov;katastr
Jablonecké Paseky;Jablonecké Paseky;katastr
Ondříkovice;Ondříkovice;katastr
Držkov;Držkov;katastr
Mutišov;Mutišov;katastr
Desná III;Desná III;katastr
Desná II;Desná II;katastr
Desná I;Desná I;katastr
Lipovka;Lipovka;katastr
Rýnovice;Rýnovice;katastr
Šerchov;Šerchov;katastr
Rokle;Rokle;katastr
Rusová;Rusová;katastr
Dolina;Dolina;katastr
Trněný Újezd u Zákolan;Trněný Újezd u Zákolan;katastr
Zájezd u Buštěhradu;Zájezd u Buštěhradu;katastr
Vinařice u Kladna;Vinařice u Kladna;katastr
Lhota u Kamenných Žehrovic;Lhota u Kamenných Žehrovic;katastr
Unhošť;Unhošť;katastr
Makotřasy;Makotřasy;katastr
Velká Dobrá;Velká Dobrá;katastr
Hostouň u Prahy;Hostouň u Prahy;katastr
Horní Bezděkov;Horní Bezděkov;katastr
Kyšice;Kyšice;katastr
Koleč;Koleč;katastr
Dubí u Kladna;Dubí u Kladna;katastr
Kladno;Kladno;katastr
Líšnice u Sepekova;Líšnice u Sepekova;katastr
Nový Dvůr u Písku;Nový Dvůr u Písku;katastr
Paseky u Písku;Paseky u Písku;katastr
Zálší u Sepekova;Zálší u Sepekova;katastr
Staré Kestřany;Staré Kestřany;katastr
Jetětice;Jetětice;katastr
Jamný;Jamný;katastr
Podchýšská Lhota;Podchýšská Lhota;katastr
Chvaletice u Protivína;Chvaletice u Protivína;katastr
Chřešťovice;Chřešťovice;katastr
Hrejkovice;Hrejkovice;katastr
Dobrošov u Hrazan;Dobrošov u Hrazan;katastr
Horosedly;Horosedly;katastr
Loučka;Loučka;katastr
Švejcarova Lhota;Švejcarova Lhota;katastr
Lobodice;Lobodice;katastr
Oprostovice;Oprostovice;katastr
Oldřichov na Moravě;Oldřichov na Moravě;katastr
Svrčov;Svrčov;katastr
Kladníky;Kladníky;katastr
Křtomil;Křtomil;katastr
Hradčany na Moravě;Hradčany na Moravě;katastr
Hlinsko;Hlinsko;katastr
Kokory;Kokory;katastr
Grymov;Grymov;katastr
Lazníky;Lazníky;katastr
Vranov u Čerčan;Vranov u Čerčan;katastr
Vojkov u Votic;Vojkov u Votic;katastr
Minartice;Minartice;katastr
Kyjov;Kyjov;katastr
Štítná nad Vláří;Štítná nad Vláří;katastr
Poteč;Poteč;katastr
Veselka u Olešnice;Veselka u Olešnice;katastr
Rumberk;Rumberk;katastr
Bedřichov;Bedřichov;katastr
Vlčatín;Vlčatín;katastr
Telice;Telice;katastr
Tisová u Tachova;Tisová u Tachova;katastr
Stříbro;Stříbro;katastr
Únětice;Únětice;katastr
Úlibice;Úlibice;katastr
Bílsko u Kopidlna;Bílsko u Kopidlna;katastr
Makov u Litomyšle;Makov u Litomyšle;katastr
Tuř;Tuř;katastr
Střeleč;Střeleč;katastr
Soběraz;Soběraz;katastr
Šárovcova Lhota;Šárovcova Lhota;katastr
Choteč u Lázní Bělohradu;Choteč u Lázní Bělohradu;katastr
Šebrov;Šebrov;katastr
Staré Hrady;Staré Hrady;katastr
Svinošice;Svinošice;katastr
Spešov;Spešov;katastr
Vílov;Vílov;katastr
Veřechov;Veřechov;katastr
Mlynářovice;Mlynářovice;katastr
Horní Lhota u Klatov;Horní Lhota u Klatov;katastr
Horažďovická Lhota;Horažďovická Lhota;katastr
Točník u Klatov;Točník u Klatov;katastr
Jesení;Jesení;katastr
Budeč;Budeč;katastr
Dobrohošť;Dobrohošť;katastr
Bílkov;Bílkov;katastr
Mojné-Skřidla;Mojné-Skřidla;katastr
Cetviny;Cetviny;katastr
Tichá;Tichá;katastr
Stavěšice;Stavěšice;katastr
Skoronice;Skoronice;katastr
Nechvalín;Nechvalín;katastr
Mouchnice;Mouchnice;katastr
Milotice u Kyjova;Milotice u Kyjova;katastr
Lovčice u Kyjova;Lovčice u Kyjova;katastr
Hovorany;Hovorany;katastr
Domanín;Domanín;katastr
Ždánice;Ždánice;katastr
Ježov;Ježov;katastr
Čeložnice;Čeložnice;katastr
Bzenec;Bzenec;katastr
Bohuslavice u Kyjova;Bohuslavice u Kyjova;katastr
Vlásenice-Drbohlavy;Vlásenice-Drbohlavy;katastr
Čelistná;Čelistná;katastr
Čejkov;Čejkov;katastr
Častrov;Častrov;katastr
Sedliště u Častonína;Sedliště u Častonína;katastr
Štědrovice;Štědrovice;katastr
Čakovice u Pelhřimova;Čakovice u Pelhřimova;katastr
Bystrá;Bystrá;katastr
Buřenice;Buřenice;katastr
Bratřice;Bratřice;katastr
Branišov pod Křemešníkem;Branišov pod Křemešníkem;katastr
Bořetín;Bořetín;katastr
Bohdalín;Bohdalín;katastr
Straník;Straník;katastr
Jemnice u Tisové;Jemnice u Tisové;katastr
Kochánov II;Kochánov II;katastr
Milíře u Tachova;Milíře u Tachova;katastr
Tatenice;Tatenice;katastr
Štěpanice;Štěpanice;katastr
Babice u Holubče;Babice u Holubče;katastr
Terešov;Terešov;katastr
Újezd Svatého Kříže;Újezd Svatého Kříže;katastr
Nezdřev;Nezdřev;katastr
Líšná u Zbiroha;Líšná u Zbiroha;katastr
Studená u Chříče;Studená u Chříče;katastr
Olbramovice u Moravského Krumlova;Olbramovice u Moravského Krumlova;katastr
Jakubčovice;Jakubčovice;katastr
Medlice u Budišova nad Budišovkou;Medlice u Budišova nad Budišovkou;katastr
Kerhartice u Budišova nad Budišovkou;Kerhartice u Budišova nad Budišovkou;katastr
Hořejší Kunčice;Hořejší Kunčice;katastr
Neplachovice;Neplachovice;katastr
Kamenec;Kamenec;katastr
Hněvošice;Hněvošice;katastr
Darkovičky;Darkovičky;katastr
Hlučín;Hlučín;katastr
Chabičov ve Slezsku;Chabičov ve Slezsku;katastr
Filipovice;Filipovice;katastr
Dolní Životice;Dolní Životice;katastr
Čermná ve Slezsku;Čermná ve Slezsku;katastr
Studnice u Jívky;Studnice u Jívky;katastr
Jívka;Jívka;katastr
Javorník v Krkonoších;Javorník v Krkonoších;katastr
Rožnov;Rožnov;katastr
Neznášov;Neznášov;katastr
Šeřeč;Šeřeč;katastr
Kleny;Kleny;katastr
Velká Ledhuje;Velká Ledhuje;katastr
Pěkov;Pěkov;katastr
Hony;Hony;katastr
Pavlišov;Pavlišov;katastr
Dlouhé;Dlouhé;katastr
Spy;Spy;katastr
Hořepník;Hořepník;katastr
Hojanovice;Hojanovice;katastr
Eš;Eš;katastr
Dubovice;Dubovice;katastr
Vlkosovice;Vlkosovice;katastr
Horní Ves;Horní Ves;katastr
Horní Cerekev;Horní Cerekev;katastr
Kateřinice;Kateřinice;katastr
Polná u Českého Krumlova;Polná u Českého Krumlova;katastr
Kapličky;Kapličky;katastr
Svatomírov;Svatomírov;katastr
Věžovatá Pláně;Věžovatá Pláně;katastr
Štěkře;Štěkře;katastr
Měděnec;Měděnec;katastr
Horní Halže;Horní Halže;katastr
Háj u Loučné pod Klínovcem;Háj u Loučné pod Klínovcem;katastr
Kundratice u Chomutova;Kundratice u Chomutova;katastr
Stráž u Křimova;Stráž u Křimova;katastr
Menhartice u Křimova;Menhartice u Křimova;katastr
Strážky u Křimova;Strážky u Křimova;katastr
Křelovice u Pernarce;Křelovice u Pernarce;katastr
Trhomné;Trhomné;katastr
Konice u Mašťova;Konice u Mašťova;katastr
Krašovice u Plzně;Krašovice u Plzně;katastr
Kozolupy u Plzně;Kozolupy u Plzně;katastr
Popovice u Chrančovic;Popovice u Chrančovic;katastr
Lindava;Lindava;katastr
Kamenická Stráň;Kamenická Stráň;katastr
Dobříň;Dobříň;katastr
Horní Světlá pod Luží;Horní Světlá pod Luží;katastr
Kravaře v Čechách;Kravaře v Čechách;katastr
Korce;Korce;katastr
Skalka u Blíževedel;Skalka u Blíževedel;katastr
Malé Poříčí;Malé Poříčí;katastr
Bražec;Bražec;katastr
Běloves;Běloves;katastr
Nahořany nad Metují;Nahořany nad Metují;katastr
Vižňov;Vižňov;katastr
Meziměstí;Meziměstí;katastr
Velká Chmelná;Velká Chmelná;katastr
Malá Chmelná;Malá Chmelná;katastr
Tedražice;Tedražice;katastr
Drouhavec;Drouhavec;katastr
Mokřany;Mokřany;katastr
Bytíz;Bytíz;katastr
Zvíkov;Zvíkov;katastr
Suchá u Hlavňovic;Suchá u Hlavňovic;katastr
Milínov;Milínov;katastr
Pích;Pích;katastr
Čeletice;Čeletice;katastr
Vatětice;Vatětice;katastr
Chlum u Hartmanic;Chlum u Hartmanic;katastr
Újezdec;Újezdec;katastr
Petrovice I;Petrovice I;katastr
Paběnice;Paběnice;katastr
Pertoltice u Zruče nad Sázavou;Pertoltice u Zruče nad Sázavou;katastr
Milanovice;Milanovice;katastr
Chlístovice u Pertoltic;Chlístovice u Pertoltic;katastr
Dolní Pohleď;Dolní Pohleď;katastr
Soběšín;Soběšín;katastr
Ježovice;Ježovice;katastr
Rozkoš u Onomyšle;Rozkoš u Onomyšle;katastr
Onomyšl;Onomyšl;katastr
Janovická Lhota;Janovická Lhota;katastr
Tupadly u Čáslavi;Tupadly u Čáslavi;katastr
Vacanovice;Vacanovice;katastr
Bolíkovice;Bolíkovice;katastr
Žopy;Žopy;katastr
Žeranovice;Žeranovice;katastr
Brníčko;Brníčko;katastr
Javorovec;Javorovec;katastr
Medlovice u Uherského Hradiště;Medlovice u Uherského Hradiště;katastr
Jančí;Jančí;katastr
Velehrad;Velehrad;katastr
Uherský Ostroh;Uherský Ostroh;katastr
Tučapy;Tučapy;katastr
Stříbrnice u Uherského Hradiště;Stříbrnice u Uherského Hradiště;katastr
Markvarec;Markvarec;katastr
Defurovy Lažany;Defurovy Lažany;katastr
Modletice;Modletice;katastr
Malý Pěčín;Malý Pěčín;katastr
Lipolec;Lipolec;katastr
Županovice u Dešné;Županovice u Dešné;katastr
Bělčovice;Bělčovice;katastr
Chlumec u Dačic;Chlumec u Dačic;katastr
Hříšice;Hříšice;katastr
Vracov u Číhaně;Vracov u Číhaně;katastr
Horní Pole;Horní Pole;katastr
Horní Bolíkov;Horní Bolíkov;katastr
Heřmaneč;Heřmaneč;katastr
Mrákotín u Skutče;Mrákotín u Skutče;katastr
Martinice u Velkého Meziříčí;Martinice u Velkého Meziříčí;katastr
Lavičky;Lavičky;katastr
Kundratice u Křižanova;Kundratice u Křižanova;katastr
Kozlov u Křižanova;Kozlov u Křižanova;katastr
Jindřichov u Velké Bíteše;Jindřichov u Velké Bíteše;katastr
Závist u Velkého Meziříčí;Závist u Velkého Meziříčí;katastr
Jabloňov u Velkého Meziříčí;Jabloňov u Velkého Meziříčí;katastr
Hrbov u Velkého Meziříčí;Hrbov u Velkého Meziříčí;katastr
Horní Radslavice;Horní Radslavice;katastr
Horní Libochová;Horní Libochová;katastr
Holubí Zhoř;Holubí Zhoř;katastr
Heřmanov u Křižanova;Heřmanov u Křižanova;katastr
Javoříčko;Javoříčko;katastr
Kochavec;Kochavec;katastr
Horní Lhota u Luhačovic;Horní Lhota u Luhačovic;katastr
Haluzice;Haluzice;katastr
Bylnice;Bylnice;katastr
Brumov;Brumov;katastr
Vlachova Lhota;Vlachova Lhota;katastr
Šanov;Šanov;katastr
Slopné;Slopné;katastr
Suchonice;Suchonice;katastr
Valašské Klobouky;Valašské Klobouky;katastr
Študlov;Študlov;katastr
Nenkovice;Nenkovice;katastr
Starý Kramolín;Starý Kramolín;katastr
Smolov u Domažlic;Smolov u Domažlic;katastr
Nové Dvory u Močerad;Nové Dvory u Močerad;katastr
Hvožďany u Poběžovic;Hvožďany u Poběžovic;katastr
Mezholezy u Černíkova;Mezholezy u Černíkova;katastr
Mračnice;Mračnice;katastr
Zichov;Zichov;katastr
Hluboká u Kdyně;Hluboká u Kdyně;katastr
Chrastavice;Chrastavice;katastr
Chodov u Domažlic;Chodov u Domažlic;katastr
Maxov;Maxov;katastr
Horoušany u Hostouně;Horoušany u Hostouně;katastr
Horšov;Horšov;katastr
Holovousy v Podkrkonoší;Holovousy v Podkrkonoší;katastr
Pařezská Lhota;Pařezská Lhota;katastr
Hlásná Lhota u Jičína;Hlásná Lhota u Jičína;katastr
Březina u Jičína;Březina u Jičína;katastr
Střezetice;Střezetice;katastr
Drahoraz;Drahoraz;katastr
Doubrava;Doubrava;katastr
Domoslavice;Domoslavice;katastr
Dolní Černůtky;Dolní Černůtky;katastr
Dětenice;Dětenice;katastr
Brodek;Brodek;katastr
Češov;Češov;katastr
Červená Třemešná;Červená Třemešná;katastr
Bonětice;Bonětice;katastr
Lišany u Žatce;Lišany u Žatce;katastr
Drahomyšl;Drahomyšl;katastr
Jinačovice;Jinačovice;katastr
Chodouň;Chodouň;katastr
Skláře u Mnichova;Skláře u Mnichova;katastr
Kyselka u Hradiště;Kyselka u Hradiště;katastr
Vojkovice u Hradiště II;Vojkovice u Hradiště II;katastr
Stráž u Hradiště I;Stráž u Hradiště I;katastr
Doupovské Hradiště;Doupovské Hradiště;katastr
Podbořanský Rohozec u Hradiště II;Podbořanský Rohozec u Hradiště II;katastr
Bražec u Doupova;Bražec u Doupova;katastr
Albeřice u Hradiště;Albeřice u Hradiště;katastr
Strážov na Šumavě;Strážov na Šumavě;katastr
Újezd;Újezd;katastr
Opálka;Opálka;katastr
Lehom;Lehom;katastr
Krotějov;Krotějov;katastr
Předslav;Předslav;katastr
Měcholupy u Předslavi;Měcholupy u Předslavi;katastr
Loučim;Loučim;katastr
Kvíčovice;Kvíčovice;katastr
Semošice;Semošice;katastr
Křenovy;Křenovy;katastr
Dolní Neděliště;Dolní Neděliště;katastr
Koloveč;Koloveč;katastr
Vysoká u Malé Moravy;Vysoká u Malé Moravy;katastr
Sklené u Malé Moravy;Sklené u Malé Moravy;katastr
Lounky;Lounky;katastr
Litochovice nad Labem;Litochovice nad Labem;katastr
Libotenice;Libotenice;katastr
Libochovice;Libochovice;katastr
Libkovice pod Řípem;Libkovice pod Řípem;katastr
Liběšice u Litoměřic;Liběšice u Litoměřic;katastr
Čečovice;Čečovice;katastr
Lhotka nad Labem;Lhotka nad Labem;katastr
Muckov;Muckov;katastr
Kyškovice;Kyškovice;katastr
Brzánky;Brzánky;katastr
Dolní Bolíkov-Rubašov;Dolní Bolíkov-Rubašov;katastr
Volfířov;Volfířov;katastr
Služetín u Bezvěrova;Služetín u Bezvěrova;katastr
Kočín u Kralovic;Kočín u Kralovic;katastr
Vnorovice;Vnorovice;katastr
Velký Pěčín;Velký Pěčín;katastr
Střítež u Malonic;Střítež u Malonic;katastr
Malonice;Malonice;katastr
Kolinec;Kolinec;katastr
Žlíbek;Žlíbek;katastr
Lídlovy Dvory;Lídlovy Dvory;katastr
Kavrlík;Kavrlík;katastr
Červená u Kašperských Hor;Červená u Kašperských Hor;katastr
Orlovice;Orlovice;katastr
Filipová;Filipová;katastr
Vyšehorky;Vyšehorky;katastr
Nové Sady;Nové Sady;katastr
Luleč;Luleč;katastr
Lovčičky;Lovčičky;katastr
Vlasatice;Vlasatice;katastr
Popovice u Rajhradu;Popovice u Rajhradu;katastr
Ponětovice;Ponětovice;katastr
Podolí u Brna;Podolí u Brna;katastr
Maňová;Maňová;katastr
Jilmoví;Jilmoví;katastr
Ješetice;Ješetice;katastr
Javorník u Vlašimi;Javorník u Vlašimi;katastr
Chotýšany;Chotýšany;katastr
Choratice;Choratice;katastr
Vlkovec;Vlkovec;katastr
Chlístov u Benešova;Chlístov u Benešova;katastr
Hořetice;Hořetice;katastr
Dubějovice;Dubějovice;katastr
Božkovice;Božkovice;katastr
Hrazená Lhota;Hrazená Lhota;katastr
Přísečná;Přísečná;katastr
Lověšice;Lověšice;katastr
Přídolí;Přídolí;katastr
Lísky;Lísky;katastr
Kostelany;Kostelany;katastr
Těšnovice;Těšnovice;katastr
Hulín;Hulín;katastr
Hoštice u Litenčic;Hoštice u Litenčic;katastr
Cetechovice;Cetechovice;katastr
Sobělice;Sobělice;katastr
Vrbice u Velkých Pavlovic;Vrbice u Velkých Pavlovic;katastr
Velké Pavlovice;Velké Pavlovice;katastr
Velké Hostěrádky;Velké Hostěrádky;katastr
Uherčice u Hustopečí;Uherčice u Hustopečí;katastr
Blišice;Blišice;katastr
Šakvice;Šakvice;katastr
Bušanovice;Bušanovice;katastr
Bořanovice u Vimperka;Bořanovice u Vimperka;katastr
Hradčany u Čkyně;Hradčany u Čkyně;katastr
Hlásná Lhota;Hlásná Lhota;katastr
Budilov;Budilov;katastr
Bohumilice v Čechách;Bohumilice v Čechách;katastr
Milešice;Milešice;katastr
Chlum u Volar;Chlum u Volar;katastr
Vitějovice;Vitějovice;katastr
Výškovice u Vimperka;Výškovice u Vimperka;katastr
Svinná u Stříbra;Svinná u Stříbra;katastr
Butov;Butov;katastr
Újezd pod Přimdou;Újezd pod Přimdou;katastr
Slivenec;Slivenec;katastr
Seč u Blovic;Seč u Blovic;katastr
Sedlec u Žebráku;Sedlec u Žebráku;katastr
Střeziměř;Střeziměř;katastr
Hloubětín;Hloubětín;katastr
Vlčice u Javorníka;Vlčice u Javorníka;katastr
Hejnice u Žamberka;Hejnice u Žamberka;katastr
Trnová u Tachova;Trnová u Tachova;katastr
Mariánské Lázně;Mariánské Lázně;katastr
Budkovice;Budkovice;katastr
Předměstí u Města Libavá;Předměstí u Města Libavá;katastr
Dřemovice u Města Libavá;Dřemovice u Města Libavá;katastr
Zvířetice;Zvířetice;katastr
Řehlovice;Řehlovice;katastr
Řetouň;Řetouň;katastr
Roudníky;Roudníky;katastr
Roztoky nad Labem;Roztoky nad Labem;katastr
Povrly;Povrly;katastr
Krásné Březno;Krásné Březno;katastr
Mašovice pod Vysokým kamenem;Mašovice pod Vysokým kamenem;katastr
Dolní Litvínov;Dolní Litvínov;katastr
Petrovice u Chabařovic;Petrovice u Chabařovic;katastr
Neštěmice;Neštěmice;katastr
Mojžíř;Mojžíř;katastr
Němčí u Malečova;Němčí u Malečova;katastr
Kojetice u Malečova;Kojetice u Malečova;katastr
Merklín u Karlových Var;Merklín u Karlových Var;katastr
Kozlov;Kozlov;katastr
Kostrčany;Kostrčany;katastr
Smilov u Štědré;Smilov u Štědré;katastr
Háje u Karlových Var;Háje u Karlových Var;katastr
Horní Žďár u Ostrova;Horní Žďár u Ostrova;katastr
Neznašovy;Neznašovy;katastr
Velký Bor u Horažďovic;Velký Bor u Horažďovic;katastr
Jetenovice;Jetenovice;katastr
Újezd u Plánice;Újezd u Plánice;katastr
Mlýnské Struhadlo;Mlýnské Struhadlo;katastr
Týnec u Janovic nad Úhlavou;Týnec u Janovic nad Úhlavou;katastr
Klenová;Klenová;katastr
Nepomuk v Brdech;Nepomuk v Brdech;katastr
Borovno v Brdech;Borovno v Brdech;katastr
Číčov v Brdech;Číčov v Brdech;katastr
Trokavec v Brdech;Trokavec v Brdech;katastr
Skořice v Brdech;Skořice v Brdech;katastr
Štítov v Brdech;Štítov v Brdech;katastr
Mirošov v Brdech;Mirošov v Brdech;katastr
Láz v Brdech;Láz v Brdech;katastr
Strašice v Brdech;Strašice v Brdech;katastr
Jince v Brdech;Jince v Brdech;katastr
Těně v Brdech;Těně v Brdech;katastr
Lážovice;Lážovice;katastr
Dobřív v Brdech;Dobřív v Brdech;katastr
Bor u Sedlčan;Bor u Sedlčan;katastr
Nečín;Nečín;katastr
Narysov;Narysov;katastr
Nalžovice;Nalžovice;katastr
Milín;Milín;katastr
Střemy;Střemy;katastr
Tajná;Tajná;katastr
Kadlín;Kadlín;katastr
Vrchovnice;Vrchovnice;katastr
Skramouš;Skramouš;katastr
Řepín;Řepín;katastr
Horní Dohalice;Horní Dohalice;katastr
Přívory;Přívory;katastr
Třebušice;Třebušice;katastr
Velebudice;Velebudice;katastr
Volevčice;Volevčice;katastr
Patokryje;Patokryje;katastr
Mníšek v Krušných horách;Mníšek v Krušných horách;katastr
Mikulovice v Krušných horách;Mikulovice v Krušných horách;katastr
Meziboří u Litvínova;Meziboří u Litvínova;katastr
Mariánské Radčice;Mariánské Radčice;katastr
Svinčice;Svinčice;katastr
Lužice u Mostu;Lužice u Mostu;katastr
Lom u Mostu;Lom u Mostu;katastr
České Zlatníky;České Zlatníky;katastr
Louka u Litvínova;Louka u Litvínova;katastr
Sušice nad Otavou;Sušice nad Otavou;katastr
Dolní Staňkov;Dolní Staňkov;katastr
Vchynice-Tetov I;Vchynice-Tetov I;katastr
Soběšice u Sušice;Soběšice u Sušice;katastr
Svojšice u Sušice;Svojšice u Sušice;katastr
Humpolec u Sušice;Humpolec u Sušice;katastr
Rozsedly;Rozsedly;katastr
Zhůří u Rejštejna;Zhůří u Rejštejna;katastr
Bukovník;Bukovník;katastr
Javorná u Polomu;Javorná u Polomu;katastr
Zhůří;Zhůří;katastr
Debrník u Železné Rudy;Debrník u Železné Rudy;katastr
Železná Ruda;Železná Ruda;katastr
Mramotice;Mramotice;katastr
Rokytná;Rokytná;katastr
Morašice;Morašice;katastr
Milíčovice;Milíčovice;katastr
Mackovice;Mackovice;katastr
Lubnice;Lubnice;katastr
Lechovice;Lechovice;katastr
Lančov;Lančov;katastr
Milokošť;Milokošť;katastr
Medlice;Medlice;katastr
Velká nad Veličkou;Velká nad Veličkou;katastr
Suchov;Suchov;katastr
Rohatec;Rohatec;katastr
Luby;Luby;katastr
Slavonice;Slavonice;katastr
Slaný;Slaný;katastr
Sazená;Sazená;katastr
Třebín;Třebín;katastr
Šach;Šach;katastr
Čeradice u Pálečku;Čeradice u Pálečku;katastr
Kamenný Most;Kamenný Most;katastr
Libovice u Slaného;Libovice u Slaného;katastr
Přelíc;Přelíc;katastr
Dvořiště;Dvořiště;katastr
Oškobrh;Oškobrh;katastr
Opolany;Opolany;katastr
Janovice u Frýdku-Místku;Janovice u Frýdku-Místku;katastr
Horní Tošanovice;Horní Tošanovice;katastr
Horní Domaslavice;Horní Domaslavice;katastr
Panské Nové Dvory;Panské Nové Dvory;katastr
Frýdek;Frýdek;katastr
Kocurovice;Kocurovice;katastr
Dolní Tošanovice;Dolní Tošanovice;katastr
Dolní Domaslavice;Dolní Domaslavice;katastr
Dobratice;Dobratice;katastr
Kunčičky u Bašky;Kunčičky u Bašky;katastr
Chlístov u Železného Brodu;Chlístov u Železného Brodu;katastr
Hrubá Horka;Hrubá Horka;katastr
Zlatá Olešnice Navarovská;Zlatá Olešnice Navarovská;katastr
Cerekvice nad Bystřicí;Cerekvice nad Bystřicí;katastr
Dolní Hraničná;Dolní Hraničná;katastr
Vackov;Vackov;katastr
Vysočany u Ovesných Kladrub;Vysočany u Ovesných Kladrub;katastr
Sedčice;Sedčice;katastr
Přívlaky;Přívlaky;katastr
Přední Poříčí;Přední Poříčí;katastr
Cetyně;Cetyně;katastr
Bukovany u Kozárovic;Bukovany u Kozárovic;katastr
Buková u Příbramě;Buková u Příbramě;katastr
Březové Hory;Březové Hory;katastr
Ostrov u Ouběnic;Ostrov u Ouběnic;katastr
Křemenice;Křemenice;katastr
Bláhov;Bláhov;katastr
Habrovice;Habrovice;katastr
Moravany u Dubic;Moravany u Dubic;katastr
Dolní Zálezly;Dolní Zálezly;katastr
Božtěšice;Božtěšice;katastr
Chlumec u Chabařovic;Chlumec u Chabařovic;katastr
Hrdlovka;Hrdlovka;katastr
Žalany;Žalany;katastr
Rýdeč;Rýdeč;katastr
Újezdeček;Újezdeček;katastr
Jedovnice;Jedovnice;katastr
Holštejn;Holštejn;katastr
Klemov;Klemov;katastr
Osek u Rokycan;Osek u Rokycan;katastr
Telčice;Telčice;katastr
Božičany;Božičany;katastr
Ryžovna;Ryžovna;katastr
Ostrov u Březové;Ostrov u Březové;katastr
Branice;Branice;katastr
Bor u Karlových Var;Bor u Karlových Var;katastr
Kosmová;Kosmová;katastr
Komárov u Štědré;Komárov u Štědré;katastr
Rudolec u Březové;Rudolec u Březové;katastr
Kolová;Kolová;katastr
Drahovice;Drahovice;katastr
Hrudkov;Hrudkov;katastr
Velké Strážné;Velké Strážné;katastr
Všeměry-Zátoň;Všeměry-Zátoň;katastr
Větřní;Větřní;katastr
Hašlovice;Hašlovice;katastr
Dvořetín;Dvořetín;katastr
Svéraz;Svéraz;katastr
Bratkovice;Bratkovice;katastr
Borotice;Borotice;katastr
Uhlíkov u Českého Krumlova;Uhlíkov u Českého Krumlova;katastr
Bor u Březnice;Bor u Březnice;katastr
Bohutín;Bohutín;katastr
Polerady;Polerady;katastr
Staré Město nad Metují;Staré Město nad Metují;katastr
Babí u Náchoda;Babí u Náchoda;katastr
Městec;Městec;katastr
Martinice u Skutče;Martinice u Skutče;katastr
Zdislav;Zdislav;katastr
Lukavice;Lukavice;katastr
Nové Lhotice;Nové Lhotice;katastr
Licibořice;Licibořice;katastr
Křižanovice;Křižanovice;katastr
Lhota u Chroustovic;Lhota u Chroustovic;katastr
Jetonice;Jetonice;katastr
Lešany;Lešany;katastr
Polánka;Polánka;katastr
Černín u Lukavce;Černín u Lukavce;katastr
Perknov;Perknov;katastr
Habry;Habry;katastr
Chvalovice u Nymburka;Chvalovice u Nymburka;katastr
Dobeš;Dobeš;katastr
Rochov;Rochov;katastr
Obrvaň;Obrvaň;katastr
Habrek;Habrek;katastr
Římovice;Římovice;katastr
Kněžice u Podbořan;Kněžice u Podbořan;katastr
Kaštice;Kaštice;katastr
Veletice;Veletice;katastr
Lužec;Lužec;katastr
Valeč u Hrotovic;Valeč u Hrotovic;katastr
Řípov;Řípov;katastr
Třebenice na Moravě;Třebenice na Moravě;katastr
Plešice;Plešice;katastr
Štěměchy;Štěměchy;katastr
Kojatín;Kojatín;katastr
Svatoslav u Třebíče;Svatoslav u Třebíče;katastr
Studenec u Třebíče;Studenec u Třebíče;katastr
Stařeč;Stařeč;katastr
Lhota u Konice;Lhota u Konice;katastr
Dešná;Dešná;katastr
Bousín;Bousín;katastr
Želeč na Hané;Želeč na Hané;katastr
Bohostice;Bohostice;katastr
Černov;Černov;katastr
Cebiv;Cebiv;katastr
Útvina;Útvina;katastr
Sedlo u Toužimi;Sedlo u Toužimi;katastr
Třebouň;Třebouň;katastr
Štědrá;Štědrá;katastr
Mostec;Mostec;katastr
Lažany u Štědré;Lažany u Štědré;katastr
Radyně;Radyně;katastr
Lachovice;Lachovice;katastr
Pulovice;Pulovice;katastr
Žalmanov;Žalmanov;katastr
Nemanice;Nemanice;katastr
Kohoutov u Ždírce nad Doubravou;Kohoutov u Ždírce nad Doubravou;katastr
Zdislavice u Herálce;Zdislavice u Herálce;katastr
Vrbka u Ledče nad Sázavou;Vrbka u Ledče nad Sázavou;katastr
Sychrov u Ledče nad Sázavou;Sychrov u Ledče nad Sázavou;katastr
Vilémovice u Ledče nad Sázavou;Vilémovice u Ledče nad Sázavou;katastr
Zvěstovice;Zvěstovice;katastr
Zhoř u Vilémova;Zhoř u Vilémova;katastr
Heřmanice u Vilémova;Heřmanice u Vilémova;katastr
Veselý Žďár;Veselý Žďár;katastr
Klášter u Vilémova;Klášter u Vilémova;katastr
Miřátky;Miřátky;katastr
Úsobí;Úsobí;katastr
Chodeč u Mělníka;Chodeč u Mělníka;katastr
Bosyně;Bosyně;katastr
Vraňany;Vraňany;katastr
Popovec u Zběšiček;Popovec u Zběšiček;katastr
Velký Újezd u Chorušic;Velký Újezd u Chorušic;katastr
Choroušky;Choroušky;katastr
Horní Počaply;Horní Počaply;katastr
Dřínov;Dřínov;katastr
Debrno;Debrno;katastr
Střezivojice;Střezivojice;katastr
Jestřebice u Kokořína;Jestřebice u Kokořína;katastr
Zahájí u Chorušic;Zahájí u Chorušic;katastr
Kovářovice;Kovářovice;katastr
Pasohlávky;Pasohlávky;katastr
Ostrovačice;Ostrovačice;katastr
Ostopovice;Ostopovice;katastr
Omice;Omice;katastr
Litava;Litava;katastr
Řikonín;Řikonín;katastr
Pihel;Pihel;katastr
Žibřidice;Žibřidice;katastr
Všelibice;Všelibice;katastr
Březová u Všelibic;Březová u Všelibic;katastr
